word,classification,confidence,reason
हम्,INCORRECT,HIGH,Suspicious: ends with halant
हम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
हम्म्,INCORRECT,HIGH,Suspicious: ends with halant
उम्,INCORRECT,HIGH,Suspicious: ends with halant
अअअ,INCORRECT,HIGH,Invalid: triple character repetition
ह्म्,INCORRECT,HIGH,Suspicious: ends with halant
हहह,INCORRECT,HIGH,Invalid: triple character repetition
ह्म्म्,INCORRECT,HIGH,Suspicious: ends with halant
अह्,INCORRECT,HIGH,Suspicious: ends with halant
अम्,INCORRECT,HIGH,Suspicious: ends with halant
हुम्,INCORRECT,HIGH,Suspicious: ends with halant
अच्,INCORRECT,HIGH,Suspicious: ends with halant
हममम,INCORRECT,HIGH,Invalid: triple character repetition
ह्,INCORRECT,HIGH,Suspicious: ends with halant
हमम्,INCORRECT,HIGH,Suspicious: ends with halant
अ्,INCORRECT,HIGH,Suspicious: ends with halant
अअ्,INCORRECT,HIGH,Suspicious: ends with halant
एम्,INCORRECT,HIGH,Suspicious: ends with halant
हम्म...,INCORRECT,HIGH,Invalid: triple character repetition
फ्रेंड्,INCORRECT,HIGH,Suspicious: ends with halant
टाइम्,INCORRECT,HIGH,Suspicious: ends with halant
वाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
सर्,INCORRECT,HIGH,Suspicious: ends with halant
हुम्म्,INCORRECT,HIGH,Suspicious: ends with halant
हहहहह,INCORRECT,HIGH,Invalid: triple character repetition
अहहह,INCORRECT,HIGH,Invalid: triple character repetition
धन्यवाद्,INCORRECT,HIGH,Suspicious: ends with halant
हहहह,INCORRECT,HIGH,Invalid: triple character repetition
वौइस्,INCORRECT,HIGH,Suspicious: ends with halant
बच्,INCORRECT,HIGH,Suspicious: ends with halant
ताे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
एक्,INCORRECT,HIGH,Suspicious: ends with halant
डिस्,INCORRECT,HIGH,Suspicious: ends with halant
हम्ममम।,INCORRECT,HIGH,Invalid: triple character repetition
मेें,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हमम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
थैंक्,INCORRECT,HIGH,Suspicious: ends with halant
अच्छा...,INCORRECT,HIGH,Invalid: triple character repetition
स्,INCORRECT,HIGH,Suspicious: ends with halant
केे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
अन्,INCORRECT,HIGH,Suspicious: ends with halant
स्टूडेंट्,INCORRECT,HIGH,Suspicious: ends with halant
अअअअ,INCORRECT,HIGH,Invalid: triple character repetition
आआआ,INCORRECT,HIGH,Invalid: triple character repetition
पॉइंट्,INCORRECT,HIGH,Suspicious: ends with halant
मतलब...,INCORRECT,HIGH,Invalid: triple character repetition
हम्मममम,INCORRECT,HIGH,Invalid: triple character repetition
अब्,INCORRECT,HIGH,Suspicious: ends with halant
हहहं,INCORRECT,HIGH,Invalid: triple character repetition
बहुत्,INCORRECT,HIGH,Suspicious: ends with halant
आप्,INCORRECT,HIGH,Suspicious: ends with halant
ह्म्ममम,INCORRECT,HIGH,Invalid: triple character repetition
सब्,INCORRECT,HIGH,Suspicious: ends with halant
कुुछ,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
अहहहह,INCORRECT,HIGH,Invalid: triple character repetition
जैैसे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
एएए,INCORRECT,HIGH,Invalid: triple character repetition
इस्,INCORRECT,HIGH,Suspicious: ends with halant
कार्,INCORRECT,HIGH,Suspicious: ends with halant
चक्,INCORRECT,HIGH,Suspicious: ends with halant
श्,INCORRECT,HIGH,Suspicious: ends with halant
उम्म...,INCORRECT,HIGH,Invalid: triple character repetition
व्हाट्सप्,INCORRECT,HIGH,Suspicious: ends with halant
हाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
कर्,INCORRECT,HIGH,Suspicious: ends with halant
व्यक्,INCORRECT,HIGH,Suspicious: ends with halant
बात्,INCORRECT,HIGH,Suspicious: ends with halant
एप्,INCORRECT,HIGH,Suspicious: ends with halant
काे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
उस्,INCORRECT,HIGH,Suspicious: ends with halant
हहहहहह,INCORRECT,HIGH,Invalid: triple character repetition
उम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
व्,INCORRECT,HIGH,Suspicious: ends with halant
फूड्,INCORRECT,HIGH,Suspicious: ends with halant
हुह्,INCORRECT,HIGH,Suspicious: ends with halant
रीलस्,INCORRECT,HIGH,Suspicious: ends with halant
कुटुंबकम्,INCORRECT,HIGH,Suspicious: ends with halant
आह्,INCORRECT,HIGH,Suspicious: ends with halant
मतलब्,INCORRECT,HIGH,Suspicious: ends with halant
फॉरेनर्,INCORRECT,HIGH,Suspicious: ends with halant
पर्,INCORRECT,HIGH,Suspicious: ends with halant
इन्,INCORRECT,HIGH,Suspicious: ends with halant
कॉलेजस्,INCORRECT,HIGH,Suspicious: ends with halant
इंट्रेस्,INCORRECT,HIGH,Suspicious: ends with halant
हैलो...,INCORRECT,HIGH,Invalid: triple character repetition
स्पोर्ट्,INCORRECT,HIGH,Suspicious: ends with halant
