reference,prediction,wer_percent,severity,id
इसे केमिकल का ph कहा जाता है आप लाल गोभी के जूस का इस्तेमाल करके एक संकेतक बना सकते हैं,इसे केमिकल का पीज कहा जाता है आप लाल गोभी के जूस को इस्तमाल करके एक संके तक बना सकते हैं,25.0,Low (0-30%),1
यह ऑरोरा बोरेलिस को देखने का एक अच्छा अवसर प्रदान करता है क्योंकि आकाश में उस समय अंधकार सा ही रहेगा,यह आरोरा बोरेलिस को देखने का एक अच्छा अबसर प्रदान करता है किकि अकाश में उस समय अंदकार साही रहेगा,33.33333333333333,Medium (30-60%),2
यहूदी और गैर-यहूदी की तरह अभी भी ऐसे कई पुरुष और महिलाएं जीवित हैं जो उस समय बचने में सफल रहे और कई जिनके प्रियजनों को मार दिया गया या उनके मरने तक उनसे काम करवाया गया,यहुदी और गया यहुदी कितारा अभी भी यहसे कई पूरुश्वार महिलाई जीविद हैं जो उस समझे बचने में सफल रहे और कई जिनके प्रिया जनो को मार दिया गया या उनके मरने तक उनसे काम करवाया गया.,35.13513513513514,Medium (30-60%),3
भवनों की परेड जिसने हांगकांग की स्कायलाइन को चमचमाते बार चार्ट की तरह बनाया है उसने विक्टोरिया हार्बर के पानी की मौज़ूदगी को देखने लायक बनाया है,भवनो की परेड जिसने हुंकोंकी शकाईलाएन को चम्चमाते बार चाट की तरा बनाया है उसने विक्तोर्या हरबर के पानी की मोझुद की को देखने लायक बनाया है,40.74074074074074,Medium (30-60%),4
केवल दो हफ़्तों में अमेरिकियों और फ़्री फ़्रेंच बलों ने दक्षिणी फ़्रांस को मुक्त कर दिया था और जर्मनी की ओर बढ़ रहे थे,केवल 2 हबतो में अमेरीकियो और फरी फरेंच भलो ने दक्षिनी फ्रान्स को मुक्त कर दिया था और चार्मिनि की और बड़र रहे थे,45.83333333333333,Medium (30-60%),5
यदि आप केवल शिपबोर्ड भ्रमण का उपयोग करके किनारे तक जाते हैं तो आपको एक अलग वीज़ा की आवश्यकता नहीं होगी 2009 तक,यदि आप केवल शिब बोड प्रमन का उप्यो करके किनादे तक जाते हैं तो आप को एक अलग भीजा की ववशकता नहीं हो कि 2009 तक,47.82608695652174,Medium (30-60%),6
यह संबंधित है लेकिन आम तौर पर इसमें अल्पाइन शैली की स्की टूरिंग या माउंटेनीयरिंग शामिल नहीं होती है जिसे खड़े इलाकों में किया जाता है और जिसके लिए बहुत कड़ी स्की और बूट की ज़रूरत होती है,यह सम्मन्द थे लेकिन आम तोर पर यस में आल्पाईच यह लिए की तूरिंग यह मांटेन यह रन्च शामिल नहीं होती है जिसे खडे अलाक्पों में किया जाता है और जिसके लिए बवध करी यसकी और बूट की जरुरत होती है,50.0,Medium (30-60%),7
महिलाएं यह अनुशंसा की जाती है कि कोई भी महिला यात्री वास्तविक वैवाहिक स्थिति के बावजूद कहती है कि वह विवाहित है,महलाये या पनुशन्शा की जाती है कि कोई भी महलायात्री वास्तविक वेवाएक स्तीके बावजुत कहती है कि वो विवाएक है,50.0,Medium (30-60%),8
29 वर्षीय डॉ मलार बालासुब्रमण्यम सिनसिनाटी के उत्तर में लगभग 15 मील की दूरी पर एक उपनगर ब्लू ऐश ओहियो में मिले जो एक टी-शर्ट और अंडरवियर में सड़क के किनारे बहुत अधिक नशे की हालत में जमीन पर पड़े थे,"उन्नतिस वर्ष्यव, डुक्तर मलाल बाला सुब्रमन्यम सेंसिनादि के उतर में लगबक पन्डरा मील की दूरी पर एक उपनगर भलुव एश उहिव में मिलें जो एक टीशेट और अंदर्यर में सरदग के किनारे बहुत अदिक नशे की हालत में चमीन पर पडे थे अग",51.21951219512195,Medium (30-60%),9
ज़्यादा परंपरागत चर्चों में ईस्टर सप्ताहांत में शनिवार रात को ईस्टर विजिल का आयोजन किया जाता है जिसमें लोग क्रिस के पुनर्जन्म का उत्सव मनाने के लिए आधी रात के समय उत्सव मनाना शुरू करते हैं,जियादा परम परागत चर्चु में इश्टर सबताहन में शनिवार राद को इश्टर विजिल का इजन किया जाता है जिस में लोग करीस के पुन जरनन का उच्सव मनाने के लिया आदी राद के शमय उच्सव मनाना सुरू करते है,61.11111111111112,High (>60%),10
